Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
209.99	0.012900	1483.1	0.00067427	119.49	119.50	0.66638	0.80986	1.2186	918.39	-0.33680	702.43	0.12238	0.020874	0.76167	1.3129	342.38	359.31	1.8084	0.59659	0.68408	138.63	90.240	8.3989	0.0063008
210.19	0.013075	1482.5	0.00067452	119.74	119.75	0.66754	0.81004	1.2189	917.41	-0.33649	699.66	0.12227	0.020843	0.77134	1.2964	342.49	359.44	1.8079	0.59706	0.68460	138.68	89.815	8.4065	0.0063169
210.39	0.013250	1482.0	0.00067477	119.98	119.99	0.66869	0.81022	1.2191	916.45	-0.33618	696.93	0.12217	0.020812	0.78101	1.2804	342.60	359.56	1.8074	0.59752	0.68512	138.73	89.398	8.4141	0.0063329
210.58	0.013425	1481.4	0.00067501	120.22	120.23	0.66982	0.81039	1.2194	915.49	-0.33587	694.25	0.12207	0.020781	0.79066	1.2648	342.71	359.69	1.8070	0.59798	0.68563	138.78	88.989	8.4216	0.0063486
210.78	0.013600	1480.9	0.00067526	120.45	120.46	0.67094	0.81057	1.2197	914.55	-0.33557	691.61	0.12196	0.020750	0.80031	1.2495	342.82	359.81	1.8065	0.59844	0.68614	138.83	88.587	8.4289	0.0063642
210.97	0.013775	1480.4	0.00067550	120.69	120.70	0.67205	0.81074	1.2200	913.61	-0.33527	689.02	0.12186	0.020720	0.80995	1.2346	342.92	359.93	1.8060	0.59889	0.68664	138.87	88.193	8.4362	0.0063796
211.16	0.013950	1479.9	0.00067574	120.92	120.93	0.67314	0.81091	1.2202	912.69	-0.33497	686.47	0.12176	0.020690	0.81958	1.2201	343.03	360.05	1.8056	0.59934	0.68713	138.92	87.807	8.4435	0.0063948
211.34	0.014125	1479.3	0.00067598	121.15	121.16	0.67423	0.81108	1.2205	911.77	-0.33468	683.96	0.12166	0.020661	0.82921	1.2060	343.13	360.17	1.8051	0.59978	0.68763	138.97	87.427	8.4506	0.0064099
211.53	0.014300	1478.8	0.00067621	121.37	121.38	0.67530	0.81125	1.2207	910.87	-0.33438	681.49	0.12157	0.020632	0.83883	1.1921	343.24	360.29	1.8047	0.60022	0.68811	139.01	87.054	8.4577	0.0064249
211.71	0.014475	1478.3	0.00067644	121.60	121.61	0.67636	0.81142	1.2210	909.97	-0.33409	679.06	0.12147	0.020603	0.84844	1.1786	343.34	360.40	1.8043	0.60065	0.68859	139.06	86.687	8.4647	0.0064397
211.89	0.014650	1477.8	0.00067667	121.82	121.83	0.67740	0.81158	1.2212	909.09	-0.33380	676.67	0.12137	0.020574	0.85804	1.1655	343.44	360.52	1.8038	0.60108	0.68907	139.10	86.326	8.4716	0.0064543
