Temperature,Pressure,Density,Volume,Internal Energy,Enthalpy,Entropy,Cv,Cp
292.98,0.56863,1226,0.00081568,226.76,227.22,1.0954,0.90477,1.4042
293.36,0.5754,1224.6,0.00081661,227.29,227.76,1.0972,0.90529,1.4056
293.74,0.58216,1223.2,0.00081754,227.82,228.29,1.099,0.9058,1.4071
294.11,0.58893,1221.8,0.00081847,228.34,228.82,1.1008,0.90631,1.4085
294.49,0.59569,1220.4,0.00081939,228.86,229.35,1.1026,0.90682,1.4099
294.86,0.60246,1219,0.00082031,229.38,229.87,1.1043,0.90733,1.4114
295.22,0.60922,1217.7,0.00082123,229.89,230.39,1.1061,0.90783,1.4128
295.59,0.61599,1216.3,0.00082214,230.4,230.9,1.1078,0.90832,1.4142
295.95,0.62275,1215,0.00082305,230.9,231.41,1.1095,0.90882,1.4157
296.3,0.62952,1213.7,0.00082395,231.4,231.92,1.1112,0.90931,1.4171
296.66,0.63628,1212.3,0.00082486,231.9,232.42,1.1129,0.9098,1.4185
297.01,0.64305,1211,0.00082575,232.39,232.92,1.1145,0.91028,1.4199
297.36,0.64981,1209.7,0.00082665,232.88,233.42,1.1162,0.91076,1.4213
297.7,0.65658,1208.4,0.00082754,233.37,233.91,1.1178,0.91124,1.4228
298.05,0.66334,1207.1,0.00082843,233.85,234.4,1.1194,0.91172,1.4242
298.39,0.67011,1205.8,0.00082932,234.33,234.88,1.121,0.91219,1.4256
298.73,0.67687,1204.5,0.0008302,234.81,235.37,1.1226,0.91266,1.427
299.06,0.68364,1203.3,0.00083108,235.28,235.85,1.1242,0.91313,1.4284
299.39,0.6904,1202,0.00083196,235.75,236.32,1.1258,0.9136,1.4298
299.73,0.69717,1200.7,0.00083284,236.22,236.8,1.1274,0.91406,1.4313
300.05,0.70393,1199.5,0.00083371,236.68,237.27,1.1289,0.91452,1.4327
300.38,0.7107,1198.2,0.00083458,237.14,237.73,1.1304,0.91498,1.4341
300.7,0.71746,1197,0.00083545,237.6,238.2,1.132,0.91543,1.4355
301.02,0.72423,1195.7,0.00083631,238.05,238.66,1.1335,0.91589,1.4369
301.34,0.73099,1194.5,0.00083717,238.51,239.12,1.135,0.91634,1.4383
301.66,0.73776,1193.3,0.00083804,238.96,239.57,1.1365,0.91679,1.4397
301.98,0.74452,1192,0.00083889,239.4,240.03,1.138,0.91723,1.4411
302.29,0.75128,1190.8,0.00083975,239.85,240.48,1.1394,0.91768,1.4425
302.6,0.75805,1189.6,0.0008406,240.29,240.92,1.1409,0.91812,1.4439
302.91,0.76481,1188.4,0.00084146,240.73,241.37,1.1424,0.91856,1.4454
303.21,0.77158,1187.2,0.00084231,241.16,241.81,1.1438,0.91899,1.4468
303.52,0.77834,1186,0.00084315,241.6,242.25,1.1452,0.91943,1.4482
303.82,0.78511,1184.8,0.000844,242.03,242.69,1.1466,0.91986,1.4496
304.12,0.79187,1183.7,0.00084484,242.46,243.13,1.1481,0.92029,1.451
304.42,0.79864,1182.5,0.00084569,242.88,243.56,1.1495,0.92072,1.4524
304.71,0.8054,1181.3,0.00084653,243.31,243.99,1.1509,0.92115,1.4538
305.01,0.81217,1180.1,0.00084736,243.73,244.42,1.1522,0.92157,1.4552
305.3,0.81893,1179,0.0008482,244.15,244.84,1.1536,0.922,1.4566
305.59,0.8257,1177.8,0.00084904,244.57,245.27,1.155,0.92242,1.458
305.88,0.83246,1176.7,0.00084987,244.98,245.69,1.1564,0.92284,1.4595
306.17,0.83923,1175.5,0.0008507,245.39,246.11,1.1577,0.92325,1.4609
306.45,0.84599,1174.4,0.00085153,245.8,246.52,1.159,0.92367,1.4623
306.74,0.85276,1173.2,0.00085236,246.21,246.94,1.1604,0.92408,1.4637
307.02,0.85952,1172.1,0.00085319,246.62,247.35,1.1617,0.92449,1.4651
307.3,0.86629,1170.9,0.00085401,247.02,247.76,1.163,0.92491,1.4665
307.58,0.87305,1169.8,0.00085484,247.43,248.17,1.1643,0.92531,1.468
307.86,0.87982,1168.7,0.00085566,247.83,248.58,1.1656,0.92572,1.4694
308.13,0.88658,1167.6,0.00085648,248.22,248.98,1.1669,0.92613,1.4708
308.41,0.89335,1166.5,0.0008573,248.62,249.39,1.1682,0.92653,1.4722
308.68,0.90011,1165.3,0.00085812,249.01,249.79,1.1695,0.92693,1.4736
308.95,0.90688,1164.2,0.00085894,249.41,250.19,1.1708,0.92733,1.4751
309.22,0.91364,1163.1,0.00085975,249.8,250.58,1.172,0.92773,1.4765
309.49,0.92041,1162,0.00086057,250.19,250.98,1.1733,0.92813,1.4779
309.76,0.92717,1160.9,0.00086138,250.57,251.37,1.1745,0.92853,1.4794
310.02,0.93393,1159.8,0.00086219,250.96,251.76,1.1758,0.92892,1.4808
310.28,0.9407,1158.7,0.000863,251.34,252.15,1.177,0.92931,1.4822
310.55,0.94746,1157.7,0.00086381,251.72,252.54,1.1783,0.92971,1.4836
310.81,0.95423,1156.6,0.00086462,252.1,252.93,1.1795,0.9301,1.4851
311.07,0.96099,1155.5,0.00086543,252.48,253.31,1.1807,0.93048,1.4865
311.33,0.96776,1154.4,0.00086624,252.86,253.69,1.1819,0.93087,1.488
311.58,0.97452,1153.3,0.00086705,253.23,254.07,1.1831,0.93126,1.4894
311.84,0.98129,1152.3,0.00086785,253.6,254.45,1.1843,0.93164,1.4908
312.09,0.98805,1151.2,0.00086865,253.97,254.83,1.1855,0.93203,1.4923
312.34,0.99482,1150.1,0.00086946,254.34,255.21,1.1867,0.93241,1.4937
312.6,1.0016,1149.1,0.00087026,254.71,255.58,1.1879,0.93279,1.4952
312.85,1.0083,1148,0.00087106,255.08,255.96,1.1891,0.93317,1.4966
313.1,1.0151,1147,0.00087186,255.44,256.33,1.1902,0.93355,1.4981
313.34,1.0219,1145.9,0.00087266,255.81,256.7,1.1914,0.93393,1.4995
313.59,1.0286,1144.9,0.00087346,256.17,257.07,1.1925,0.9343,1.501
313.84,1.0354,1143.8,0.00087426,256.53,257.43,1.1937,0.93468,1.5025
314.08,1.0422,1142.8,0.00087506,256.89,257.8,1.1948,0.93505,1.5039
314.32,1.0489,1141.7,0.00087585,257.24,258.16,1.196,0.93542,1.5054
314.56,1.0557,1140.7,0.00087665,257.6,258.53,1.1971,0.93579,1.5069
314.8,1.0625,1139.7,0.00087745,257.96,258.89,1.1982,0.93616,1.5083
315.04,1.0692,1138.6,0.00087824,258.31,259.25,1.1994,0.93653,1.5098
315.28,1.076,1137.6,0.00087904,258.66,259.61,1.2005,0.9369,1.5113
315.52,1.0828,1136.6,0.00087983,259.01,259.96,1.2016,0.93727,1.5128
315.76,1.0895,1135.6,0.00088062,259.36,260.32,1.2027,0.93763,1.5142
315.99,1.0963,1134.5,0.00088142,259.71,260.67,1.2038,0.938,1.5157
316.22,1.1031,1133.5,0.00088221,260.05,261.03,1.2049,0.93836,1.5172
316.46,1.1098,1132.5,0.000883,260.4,261.38,1.206,0.93872,1.5187
316.69,1.1166,1131.5,0.00088379,260.74,261.73,1.2071,0.93909,1.5202
316.92,1.1233,1130.5,0.00088458,261.08,262.08,1.2082,0.93945,1.5217
317.15,1.1301,1129.5,0.00088537,261.42,262.42,1.2092,0.93981,1.5232
317.38,1.1369,1128.5,0.00088616,261.76,262.77,1.2103,0.94017,1.5247
317.61,1.1436,1127.5,0.00088695,262.1,263.12,1.2114,0.94052,1.5262
317.83,1.1504,1126.5,0.00088774,262.44,263.46,1.2125,0.94088,1.5277
318.06,1.1572,1125.5,0.00088853,262.78,263.8,1.2135,0.94124,1.5292
318.28,1.1639,1124.5,0.00088931,263.11,264.15,1.2146,0.94159,1.5307
318.51,1.1707,1123.5,0.0008901,263.44,264.49,1.2156,0.94195,1.5322
318.73,1.1775,1122.5,0.00089089,263.78,264.83,1.2167,0.9423,1.5338
318.95,1.1842,1121.5,0.00089168,264.11,265.16,1.2177,0.94265,1.5353
319.17,1.191,1120.5,0.00089246,264.44,265.5,1.2187,0.943,1.5368
319.39,1.1978,1119.5,0.00089325,264.77,265.84,1.2198,0.94335,1.5383
319.61,1.2045,1118.5,0.00089404,265.09,266.17,1.2208,0.9437,1.5399
319.83,1.2113,1117.5,0.00089482,265.42,266.5,1.2218,0.94405,1.5414
320.05,1.2181,1116.6,0.00089561,265.75,266.84,1.2229,0.9444,1.5429
320.26,1.2248,1115.6,0.00089639,266.07,267.17,1.2239,0.94475,1.5445
320.48,1.2316,1114.6,0.00089718,266.39,267.5,1.2249,0.94509,1.546
320.69,1.2384,1113.6,0.00089796,266.72,267.83,1.2259,0.94544,1.5476
320.91,1.2451,1112.7,0.00089875,267.04,268.16,1.2269,0.94578,1.5491
321.12,1.2519,1111.7,0.00089953,267.36,268.48,1.2279,0.94613,1.5507
321.33,1.2586,1110.7,0.00090032,267.68,268.81,1.2289,0.94647,1.5523
321.54,1.2654,1109.8,0.0009011,267.99,269.13,1.2299,0.94681,1.5538
321.75,1.2722,1108.8,0.00090189,268.31,269.46,1.2309,0.94716,1.5554
321.96,1.2789,1107.8,0.00090267,268.63,269.78,1.2319,0.9475,1.557
322.17,1.2857,1106.9,0.00090346,268.94,270.1,1.2328,0.94784,1.5586
322.38,1.2925,1105.9,0.00090424,269.26,270.42,1.2338,0.94818,1.5602
322.58,1.2992,1104.9,0.00090502,269.57,270.74,1.2348,0.94852,1.5617
322.79,1.306,1104,0.00090581,269.88,271.06,1.2358,0.94885,1.5633
322.99,1.3128,1103,0.00090659,270.19,271.38,1.2367,0.94919,1.5649
323.2,1.3195,1102.1,0.00090738,270.5,271.7,1.2377,0.94953,1.5665
323.4,1.3263,1101.1,0.00090816,270.81,272.02,1.2386,0.94986,1.5681
323.61,1.3331,1100.2,0.00090895,271.12,272.33,1.2396,0.9502,1.5697
323.81,1.3398,1099.2,0.00090973,271.43,272.65,1.2406,0.95053,1.5714
324.01,1.3466,1098.3,0.00091052,271.73,272.96,1.2415,0.95087,1.573
324.21,1.3534,1097.3,0.0009113,272.04,273.27,1.2424,0.9512,1.5746
324.41,1.3601,1096.4,0.00091209,272.34,273.58,1.2434,0.95154,1.5762
324.61,1.3669,1095.4,0.00091287,272.65,273.89,1.2443,0.95187,1.5779
324.81,1.3736,1094.5,0.00091366,272.95,274.2,1.2453,0.9522,1.5795
325,1.3804,1093.6,0.00091444,273.25,274.51,1.2462,0.95253,1.5811
325.2,1.3872,1092.6,0.00091523,273.55,274.82,1.2471,0.95286,1.5828
325.4,1.3939,1091.7,0.00091601,273.85,275.13,1.248,0.95319,1.5844
325.59,1.4007,1090.8,0.0009168,274.15,275.43,1.249,0.95352,1.5861
325.79,1.4075,1089.8,0.00091758,274.45,275.74,1.2499,0.95385,1.5878
325.98,1.4142,1088.9,0.00091837,274.75,276.04,1.2508,0.95418,1.5894
326.17,1.421,1088,0.00091916,275.04,276.35,1.2517,0.95451,1.5911
326.37,1.4278,1087,0.00091994,275.34,276.65,1.2526,0.95484,1.5928
326.56,1.4345,1086.1,0.00092073,275.63,276.95,1.2535,0.95516,1.5945
326.75,1.4413,1085.2,0.00092152,275.93,277.26,1.2544,0.95549,1.5962
326.94,1.4481,1084.2,0.0009223,276.22,277.56,1.2553,0.95581,1.5979
327.13,1.4548,1083.3,0.00092309,276.51,277.86,1.2562,0.95614,1.5996
327.32,1.4616,1082.4,0.00092388,276.8,278.16,1.2571,0.95647,1.6013
327.51,1.4684,1081.5,0.00092467,277.1,278.45,1.258,0.95679,1.603
327.7,1.4751,1080.5,0.00092546,277.39,278.75,1.2589,0.95711,1.6047
327.88,1.4819,1079.6,0.00092625,277.68,279.05,1.2598,0.95744,1.6064
328.07,1.4886,1078.7,0.00092704,277.96,279.34,1.2607,0.95776,1.6081
328.26,1.4954,1077.8,0.00092783,278.25,279.64,1.2616,0.95808,1.6099
328.44,1.5022,1076.9,0.00092862,278.54,279.93,1.2624,0.95841,1.6116
328.63,1.5089,1076,0.00092941,278.83,280.23,1.2633,0.95873,1.6134
328.81,1.5157,1075,0.0009302,279.11,280.52,1.2642,0.95905,1.6151
329,1.5225,1074.1,0.00093099,279.4,280.81,1.2651,0.95937,1.6169
329.18,1.5292,1073.2,0.00093178,279.68,281.1,1.2659,0.95969,1.6186
329.36,1.536,1072.3,0.00093258,279.96,281.4,1.2668,0.96001,1.6204
329.54,1.5428,1071.4,0.00093337,280.25,281.69,1.2677,0.96033,1.6222
329.72,1.5495,1070.5,0.00093416,280.53,281.98,1.2685,0.96065,1.624
329.9,1.5563,1069.6,0.00093496,280.81,282.26,1.2694,0.96097,1.6257
330.08,1.5631,1068.7,0.00093575,281.09,282.55,1.2702,0.96129,1.6275
330.26,1.5698,1067.8,0.00093655,281.37,282.84,1.2711,0.96161,1.6293
330.44,1.5766,1066.8,0.00093734,281.65,283.13,1.2719,0.96192,1.6312
330.62,1.5834,1065.9,0.00093814,281.93,283.41,1.2728,0.96224,1.633
330.8,1.5901,1065,0.00093893,282.21,283.7,1.2736,0.96256,1.6348
330.97,1.5969,1064.1,0.00093973,282.48,283.98,1.2745,0.96288,1.6366
331.15,1.6037,1063.2,0.00094053,282.76,284.27,1.2753,0.96319,1.6385
331.33,1.6104,1062.3,0.00094133,283.04,284.55,1.2761,0.96351,1.6403
331.5,1.6172,1061.4,0.00094213,283.31,284.83,1.277,0.96383,1.6421
331.68,1.6239,1060.5,0.00094293,283.59,285.12,1.2778,0.96414,1.644
331.85,1.6307,1059.6,0.00094373,283.86,285.4,1.2786,0.96446,1.6459
332.03,1.6375,1058.7,0.00094453,284.13,285.68,1.2795,0.96477,1.6477
332.2,1.6442,1057.8,0.00094533,284.41,285.96,1.2803,0.96509,1.6496
332.37,1.651,1056.9,0.00094613,284.68,286.24,1.2811,0.9654,1.6515
332.54,1.6578,1056,0.00094694,284.95,286.52,1.2819,0.96572,1.6534
332.71,1.6645,1055.1,0.00094774,285.22,286.8,1.2827,0.96603,1.6553
332.89,1.6713,1054.2,0.00094854,285.49,287.08,1.2836,0.96635,1.6572
333.06,1.6781,1053.4,0.00094935,285.76,287.35,1.2844,0.96666,1.6591
333.23,1.6848,1052.5,0.00095016,286.03,287.63,1.2852,0.96697,1.661
333.4,1.6916,1051.6,0.00095096,286.3,287.91,1.286,0.96729,1.663
