Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
327.11	0.88698	38.771	0.025793	414.40	437.28	1.7761	0.86046	1.0337	151.98	17.880	12.953	0.016187	vapor
327.35	0.88698	38.721	0.025826	414.62	437.53	1.7768	0.86056	1.0333	152.10	17.824	12.963	0.016205	vapor
327.60	0.88698	38.672	0.025858	414.85	437.78	1.7776	0.86068	1.0329	152.21	17.768	12.974	0.016222	vapor
327.84	0.88698	38.623	0.025891	415.07	438.03	1.7784	0.86079	1.0326	152.33	17.713	12.984	0.016240	vapor
328.08	0.88698	38.574	0.025924	415.29	438.28	1.7791	0.86091	1.0323	152.44	17.658	12.994	0.016258	vapor
328.33	0.88698	38.526	0.025957	415.51	438.53	1.7799	0.86103	1.0319	152.55	17.603	13.005	0.016276	vapor
328.57	0.88698	38.477	0.025989	415.73	438.78	1.7807	0.86115	1.0316	152.67	17.549	13.015	0.016294	vapor
328.81	0.88698	38.429	0.026022	415.95	439.04	1.7814	0.86128	1.0313	152.78	17.494	13.025	0.016311	vapor
329.06	0.88698	38.381	0.026054	416.18	439.29	1.7822	0.86141	1.0310	152.89	17.440	13.035	0.016329	vapor
329.30	0.88698	38.333	0.026087	416.40	439.54	1.7830	0.86154	1.0307	153.01	17.387	13.046	0.016347	vapor
329.54	0.88698	38.286	0.026119	416.62	439.79	1.7837	0.86167	1.0304	153.12	17.333	13.056	0.016365	vapor
329.78	0.88698	38.238	0.026152	416.84	440.04	1.7845	0.86181	1.0301	153.23	17.280	13.066	0.016383	vapor
330.03	0.88698	38.191	0.026184	417.06	440.29	1.7852	0.86195	1.0298	153.34	17.228	13.077	0.016401	vapor
330.27	0.88698	38.144	0.026217	417.28	440.54	1.7860	0.86209	1.0295	153.46	17.175	13.087	0.016419	vapor
330.51	0.88698	38.097	0.026249	417.51	440.79	1.7867	0.86224	1.0292	153.57	17.123	13.097	0.016437	vapor
330.76	0.88698	38.050	0.026281	417.73	441.04	1.7875	0.86239	1.0290	153.68	17.071	13.107	0.016455	vapor
331.00	0.88698	38.004	0.026313	417.95	441.29	1.7883	0.86254	1.0287	153.79	17.020	13.118	0.016473	vapor
331.24	0.88698	37.957	0.026345	418.17	441.54	1.7890	0.86269	1.0284	153.90	16.968	13.128	0.016490	vapor
331.49	0.88698	37.911	0.026378	418.39	441.79	1.7898	0.86284	1.0282	154.01	16.917	13.138	0.016508	vapor
331.73	0.88698	37.865	0.026410	418.61	442.04	1.7905	0.86300	1.0280	154.12	16.867	13.148	0.016526	vapor
331.97	0.88698	37.819	0.026442	418.84	442.29	1.7913	0.86316	1.0277	154.23	16.816	13.159	0.016544	vapor
332.22	0.88698	37.773	0.026474	419.06	442.54	1.7920	0.86332	1.0275	154.34	16.766	13.169	0.016562	vapor
332.46	0.88698	37.728	0.026506	419.28	442.79	1.7928	0.86348	1.0273	154.45	16.716	13.179	0.016580	vapor
332.70	0.88698	37.682	0.026538	419.50	443.04	1.7935	0.86365	1.0270	154.56	16.666	13.189	0.016598	vapor
332.94	0.88698	37.637	0.026569	419.72	443.29	1.7943	0.86382	1.0268	154.67	16.617	13.200	0.016616	vapor
333.19	0.88698	37.592	0.026601	419.94	443.54	1.7950	0.86399	1.0266	154.78	16.567	13.210	0.016635	vapor
333.43	0.88698	37.547	0.026633	420.16	443.79	1.7958	0.86416	1.0264	154.89	16.519	13.220	0.016653	vapor
333.67	0.88698	37.503	0.026665	420.38	444.04	1.7965	0.86433	1.0262	154.99	16.470	13.230	0.016671	vapor
333.92	0.88698	37.458	0.026697	420.61	444.29	1.7973	0.86451	1.0260	155.10	16.421	13.240	0.016689	vapor
334.16	0.88698	37.414	0.026728	420.83	444.53	1.7980	0.86469	1.0258	155.21	16.373	13.251	0.016707	vapor
334.40	0.88698	37.369	0.026760	421.05	444.78	1.7988	0.86487	1.0256	155.32	16.325	13.261	0.016725	vapor
334.65	0.88698	37.325	0.026791	421.27	445.03	1.7995	0.86505	1.0255	155.43	16.278	13.271	0.016743	vapor
334.89	0.88698	37.281	0.026823	421.49	445.28	1.8003	0.86523	1.0253	155.53	16.230	13.281	0.016761	vapor
335.13	0.88698	37.238	0.026855	421.71	445.53	1.8010	0.86542	1.0251	155.64	16.183	13.291	0.016779	vapor
335.38	0.88698	37.194	0.026886	421.93	445.78	1.8017	0.86561	1.0250	155.75	16.136	13.302	0.016797	vapor
335.62	0.88698	37.151	0.026918	422.15	446.03	1.8025	0.86580	1.0248	155.85	16.089	13.312	0.016816	vapor
335.86	0.88698	37.107	0.026949	422.38	446.28	1.8032	0.86599	1.0246	155.96	16.043	13.322	0.016834	vapor
336.10	0.88698	37.064	0.026980	422.60	446.53	1.8040	0.86618	1.0245	156.06	15.996	13.332	0.016852	vapor
336.35	0.88698	37.021	0.027012	422.82	446.78	1.8047	0.86637	1.0243	156.17	15.950	13.342	0.016870	vapor
336.59	0.88698	36.978	0.027043	423.04	447.03	1.8055	0.86657	1.0242	156.28	15.904	13.352	0.016888	vapor
336.83	0.88698	36.935	0.027074	423.26	447.28	1.8062	0.86677	1.0241	156.38	15.859	13.363	0.016906	vapor
337.08	0.88698	36.893	0.027105	423.48	447.52	1.8069	0.86697	1.0239	156.49	15.813	13.373	0.016925	vapor
337.32	0.88698	36.850	0.027137	423.70	447.77	1.8077	0.86717	1.0238	156.59	15.768	13.383	0.016943	vapor
337.56	0.88698	36.808	0.027168	423.92	448.02	1.8084	0.86737	1.0237	156.70	15.723	13.393	0.016961	vapor
337.81	0.88698	36.766	0.027199	424.15	448.27	1.8091	0.86758	1.0235	156.80	15.679	13.403	0.016979	vapor
338.05	0.88698	36.724	0.027230	424.37	448.52	1.8099	0.86778	1.0234	156.91	15.634	13.413	0.016998	vapor
338.29	0.88698	36.682	0.027261	424.59	448.77	1.8106	0.86799	1.0233	157.01	15.590	13.423	0.017016	vapor
338.54	0.88698	36.640	0.027292	424.81	449.02	1.8113	0.86820	1.0232	157.11	15.546	13.434	0.017034	vapor
338.78	0.88698	36.599	0.027323	425.03	449.27	1.8121	0.86841	1.0231	157.22	15.502	13.444	0.017052	vapor
339.02	0.88698	36.557	0.027354	425.25	449.51	1.8128	0.86862	1.0230	157.32	15.458	13.454	0.017071	vapor
339.26	0.88698	36.516	0.027385	425.47	449.76	1.8136	0.86883	1.0229	157.42	15.415	13.464	0.017089	vapor
339.51	0.88698	36.475	0.027416	425.69	450.01	1.8143	0.86905	1.0228	157.53	15.372	13.474	0.017107	vapor
339.75	0.88698	36.434	0.027447	425.92	450.26	1.8150	0.86926	1.0227	157.63	15.329	13.484	0.017126	vapor
