Temperature (K),Pressure (MPa),"Density (l, kg/m3)","Volume (l, m3/kg)","Internal Energy (l, kJ/kg)","Enthalpy (l, kJ/kg)","Entropy (l, J/g*K)","Cv (l, J/g*K)","Cp (l, J/g*K)","Sound Spd. (l, m/s)","Joule-Thomson (l, K/MPa)","Viscosity (l, uPa*s)","Therm. Cond. (l, W/m*K)","Surf. Tension (l, N/m)","Density (v, kg/m3)","Volume (v, m3/kg)","Internal Energy (v, kJ/kg)","Enthalpy (v, kJ/kg)","Entropy (v, J/g*K)","Cv (v, J/g*K)","Cp (v, J/g*K)","Sound Spd. (v, m/s)","Joule-Thomson (v, K/MPa)","Viscosity (v, uPa*s)","Therm. Cond. (v, W/m*K)"
235.89,0.059,1409.8,0.00070934,151.54,151.59,0.81026,0.83578,1.2595,794.31,-0.28805,447.44,0.10926,0.01687,3.1628,0.31617,357.08,375.74,1.7605,0.65946,0.75744,144.09,54.57,9.3699,0.0083964
236.22,0.06,1408.8,0.00070982,151.96,152,0.81202,0.83613,1.26,792.76,-0.28729,445.16,0.1091,0.01682,3.2131,0.31123,357.27,375.94,1.7601,0.6603,0.75848,144.15,54.28,9.382,0.0084233
236.54,0.061,1407.9,0.0007103,152.37,152.41,0.81375,0.83649,1.2606,791.23,-0.28655,442.93,0.10894,0.016771,3.2633,0.30644,357.46,376.15,1.7596,0.66112,0.7595,144.2,53.996,9.394,0.0084498
236.86,0.062,1406.9,0.00071078,152.77,152.82,0.81546,0.83683,1.2612,789.72,-0.28581,440.74,0.10878,0.016723,3.3135,0.3018,357.64,376.35,1.7592,0.66194,0.76051,144.25,53.719,9.4058,0.008476
237.18,0.063,1406,0.00071124,153.17,153.22,0.81715,0.83718,1.2618,788.23,-0.28508,438.6,0.10863,0.016675,3.3636,0.2973,357.82,376.55,1.7588,0.66274,0.7615,144.3,53.447,9.4175,0.0085019
237.49,0.064,1405.1,0.00071171,153.57,153.61,0.81881,0.83752,1.2623,786.76,-0.28435,436.5,0.10848,0.016627,3.4137,0.29294,358,376.75,1.7584,0.66354,0.76249,144.35,53.181,9.429,0.0085274
237.8,0.065,1404.2,0.00071216,153.96,154,0.82045,0.83786,1.2629,785.31,-0.28363,434.44,0.10833,0.016581,3.4637,0.28871,358.18,376.95,1.758,0.66433,0.76347,144.4,52.921,9.4403,0.0085527
238.11,0.066,1403.3,0.00071262,154.34,154.39,0.82207,0.83819,1.2635,783.87,-0.28291,432.42,0.10818,0.016535,3.5137,0.2846,358.36,377.14,1.7576,0.66511,0.76444,144.45,52.666,9.4515,0.0085776
238.41,0.067,1402.4,0.00071307,154.72,154.77,0.82367,0.83852,1.264,782.46,-0.2822,430.44,0.10804,0.016489,3.5637,0.28061,358.53,377.33,1.7572,0.66588,0.76541,144.49,52.416,9.4626,0.0086022
238.71,0.068,1401.5,0.00071351,155.1,155.15,0.82525,0.83884,1.2646,781.06,-0.2815,428.5,0.10789,0.016444,3.6136,0.27673,358.7,377.52,1.7568,0.66664,0.76636,144.54,52.171,9.4735,0.0086266
239,0.069,1400.7,0.00071395,155.47,155.52,0.82681,0.83917,1.2651,779.68,-0.28079,426.59,0.10775,0.0164,3.6634,0.27297,358.87,377.7,1.7564,0.66739,0.7673,144.59,51.931,9.4843,0.0086507
239.29,0.07,1399.8,0.00071439,155.84,155.89,0.82835,0.83949,1.2656,778.31,-0.2801,424.71,0.10761,0.016356,3.7133,0.2693,359.04,377.89,1.7561,0.66814,0.76824,144.63,51.695,9.495,0.0086745
239.58,0.071,1399,0.00071482,156.2,156.25,0.82987,0.8398,1.2662,776.96,-0.27941,422.87,0.10747,0.016313,3.7631,0.26574,359.2,378.07,1.7557,0.66888,0.76916,144.67,51.464,9.5056,0.008698
239.86,0.072,1398.1,0.00071525,156.56,156.62,0.83137,0.84011,1.2667,775.63,-0.27872,421.06,0.10733,0.01627,3.8128,0.26227,359.37,378.25,1.7554,0.66961,0.77008,144.71,51.237,9.516,0.0087213
240.15,0.073,1397.3,0.00071567,156.92,156.97,0.83285,0.84042,1.2672,774.31,-0.27804,419.28,0.1072,0.016228,3.8626,0.2589,359.53,378.43,1.755,0.67033,0.77099,144.76,51.015,9.5263,0.0087444
240.42,0.074,1396.5,0.00071609,157.27,157.33,0.83432,0.84073,1.2677,773.01,-0.27736,417.53,0.10707,0.016186,3.9122,0.25561,359.69,378.6,1.7547,0.67105,0.7719,144.8,50.796,9.5365,0.0087671
240.7,0.075,1395.7,0.00071651,157.62,157.68,0.83577,0.84103,1.2682,771.72,-0.27668,415.81,0.10693,0.016145,3.9619,0.25241,359.85,378.78,1.7543,0.67176,0.77279,144.84,50.581,9.5466,0.0087897
240.97,0.076,1394.8,0.00071692,157.97,158.02,0.83721,0.84134,1.2688,770.44,-0.27602,414.12,0.1068,0.016104,4.0115,0.24928,360,378.95,1.754,0.67246,0.77368,144.88,50.37,9.5565,0.008812
