Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
253.79	0.13647	1356.3	0.00073730	174.37	174.47	0.90352	0.85585	1.2944	710.81	-0.24082	344.50	0.10077	0.014204	6.9648	0.14358	367.36	386.95	1.7407	0.70638	0.81816	146.33	41.894	10.023	0.0098700
254.01	0.13777	1355.6	0.00073767	174.65	174.76	0.90465	0.85611	1.2949	709.78	-0.24014	343.45	0.10067	0.014171	7.0276	0.14230	367.48	387.09	1.7406	0.70698	0.81898	146.35	41.769	10.031	0.0098884
254.23	0.13907	1354.9	0.00073804	174.94	175.04	0.90577	0.85637	1.2954	708.77	-0.23946	342.41	0.10057	0.014139	7.0904	0.14104	367.61	387.22	1.7404	0.70758	0.81979	146.37	41.646	10.039	0.0099067
254.45	0.14037	1354.3	0.00073840	175.22	175.32	0.90687	0.85662	1.2958	707.76	-0.23879	341.38	0.10047	0.014107	7.1531	0.13980	367.73	387.36	1.7402	0.70817	0.82060	146.39	41.524	10.047	0.0099248
254.67	0.14167	1353.6	0.00073877	175.50	175.60	0.90797	0.85687	1.2963	706.76	-0.23812	340.36	0.10037	0.014076	7.2159	0.13858	367.86	387.49	1.7400	0.70876	0.82140	146.41	41.404	10.054	0.0099428
254.88	0.14297	1352.9	0.00073913	175.78	175.88	0.90906	0.85712	1.2968	705.77	-0.23745	339.36	0.10027	0.014044	7.2786	0.13739	367.98	387.62	1.7398	0.70934	0.82220	146.42	41.285	10.062	0.0099607
255.10	0.14427	1352.3	0.00073949	176.05	176.16	0.91015	0.85737	1.2972	704.78	-0.23679	338.37	0.10017	0.014013	7.3413	0.13622	368.10	387.75	1.7396	0.70992	0.82300	146.44	41.167	10.070	0.0099785
255.31	0.14557	1351.6	0.00073984	176.33	176.44	0.91122	0.85761	1.2977	703.80	-0.23612	337.38	0.10007	0.013982	7.4039	0.13506	368.22	387.88	1.7394	0.71050	0.82379	146.45	41.051	10.078	0.0099962
255.52	0.14687	1351.0	0.00074020	176.60	176.71	0.91229	0.85786	1.2981	702.83	-0.23546	336.41	0.099975	0.013952	7.4666	0.13393	368.34	388.01	1.7393	0.71108	0.82458	146.47	40.936	10.085	0.010014
255.73	0.14817	1350.3	0.00074055	176.87	176.98	0.91334	0.85810	1.2986	701.87	-0.23480	335.45	0.099879	0.013921	7.5292	0.13282	368.46	388.14	1.7391	0.71165	0.82536	146.49	40.823	10.093	0.010031
