Temperature,Pressure,Density,Volume,Internal Energy,Enthalpy,Entropy,Cv,Cp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cp (v, J/g*K),Sound Spd. (v, m/s),Joule-Thomson (v, K/MPa),Viscosity (v, uPa*s),Therm. Cond. (v, W/m*K)
231.39,0.94094,1123.3,0.00089023,108.52,109.36,0.65063,0.95498,2.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231.71,0.95238,1122,0.00089123,109.16,110.01,0.65339,0.95459,2.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.03,0.96381,1120.8,0.00089222,109.79,110.65,0.65612,0.95421,2.0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.35,0.97524,1119.6,0.00089321,110.42,111.29,0.65883,0.95383,2.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.66,0.98667,1118.3,0.00089419,111.04,111.92,0.66151,0.95346,2.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.98,0.9981,1117.1,0.00089517,111.66,112.55,0.66416,0.95309,2.0108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.29,1.0095,1115.9,0.00089615,112.27,113.18,0.66679,0.95273,2.0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.59,1.021,1114.7,0.00089712,112.88,113.8,0.6694,0.95237,2.0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.9,1.0324,1113.5,0.00089808,113.48,114.41,0.67198,0.95202,2.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.2,1.0438,1112.3,0.00089905,114.08,115.02,0.67455,0.95167,2.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.5,1.0553,1111.1,0.0009,114.68,115.63,0.67708,0.95133,2.0186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.79,1.0667,1109.9,0.00090096,115.26,116.23,0.6796,0.95099,2.0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.09,1.0781,1108.8,0.00090191,115.85,116.82,0.6821,0.95066,2.0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.38,1.0896,1107.6,0.00090286,116.43,117.41,0.68457,0.95033,2.0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.67,1.101,1106.4,0.0009038,117.01,118,0.68702,0.95,2.0249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.96,1.1124,1105.3,0.00090474,117.58,118.59,0.68945,0.94968,2.0265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236.24,1.1239,1104.1,0.00090568,118.15,119.17,0.69187,0.94936,2.0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236.53,1.1353,1103,0.00090662,118.71,119.74,0.69426,0.94905,2.0297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236.81,1.1467,1101.9,0.00090755,119.27,120.31,0.69663,0.94874,2.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.09,1.1582,1100.7,0.00090848,119.83,120.88,0.69899,0.94843,2.0329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.37,1.1696,1099.6,0.0009094,120.38,121.45,0.70133,0.94813,2.0346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.64,1.181,1098.5,0.00091032,120.93,122.01,0.70364,0.94784,2.0362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.91,1.1925,1097.4,0.00091124,121.48,122.57,0.70595,0.94754,2.0378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238.18,1.2039,1096.3,0.00091216,122.02,123.12,0.70823,0.94725,2.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238.45,1.2153,1095.2,0.00091307,122.56,123.67,0.71049,0.94697,2.0411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238.72,1.2267,1094.1,0.00091398,123.1,124.22,0.71274,0.94668,2.0428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238.99,1.2382,1093,0.00091489,123.63,124.76,0.71498,0.9464,2.0445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.25,1.2496,1091.9,0.0009158,124.16,125.3,0.71719,0.94613,2.0461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.51,1.261,1090.9,0.0009167,124.68,125.84,0.71939,0.94586,2.0478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.77,1.2725,1089.8,0.0009176,125.21,126.37,0.72158,0.94559,2.0495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.03,1.2839,1088.7,0.0009185,125.73,126.9,0.72375,0.94532,2.0512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.29,1.2953,1087.7,0.00091939,126.24,127.43,0.7259,0.94506,2.0529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.54,1.3068,1086.6,0.00092028,126.75,127.96,0.72804,0.9448,2.0546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.8,1.3182,1085.6,0.00092117,127.26,128.48,0.73017,0.94454,2.0563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.05,1.3296,1084.5,0.00092206,127.77,129,0.73228,0.94429,2.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.3,1.3411,1083.5,0.00092295,128.28,129.51,0.73437,0.94404,2.0598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.55,1.3525,1082.4,0.00092383,128.78,130.03,0.73645,0.94379,2.0615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.8,1.3639,1081.4,0.00092471,129.28,130.54,0.73852,0.94355,2.0632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.04,1.3754,1080.4,0.00092559,129.77,131.04,0.74058,0.94331,2.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.29,1.3868,1079.4,0.00092647,130.27,131.55,0.74262,0.94307,2.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.53,1.3982,1078.3,0.00092735,130.76,132.05,0.74465,0.94284,2.0685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.77,1.4097,1077.3,0.00092822,131.24,132.55,0.74666,0.94261,2.0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.01,1.4211,1076.3,0.00092909,131.73,133.05,0.74866,0.94238,2.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
