Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
292.55	5.6493	779.67	0.0012826	246.61	253.86	1.1812	1.0075	4.1284	344.36	1.4344	67.819	0.085941	0.0013046	189.63	0.0052734	379.30	409.09	1.7118	1.0628	4.3399	196.77	11.003	17.676	0.034395
292.65	5.6615	778.71	0.0012842	246.89	254.16	1.1822	1.0081	4.1483	343.34	1.4438	67.658	0.085836	0.0012916	190.32	0.0052542	379.16	408.91	1.7110	1.0643	4.3722	196.67	10.984	17.701	0.034535
292.74	5.6738	777.75	0.0012858	247.18	254.47	1.1832	1.0086	4.1685	342.31	1.4533	67.498	0.085732	0.0012787	191.02	0.0052351	379.02	408.72	1.7101	1.0658	4.4051	196.56	10.964	17.726	0.034675
292.83	5.6860	776.79	0.0012873	247.46	254.78	1.1842	1.0092	4.1891	341.28	1.4630	67.337	0.085627	0.0012658	191.72	0.0052160	378.88	408.53	1.7093	1.0673	4.4385	196.46	10.945	17.751	0.034817
292.92	5.6983	775.82	0.0012890	247.75	255.09	1.1852	1.0099	4.2100	340.24	1.4727	67.176	0.085523	0.0012529	192.42	0.0051969	378.73	408.34	1.7084	1.0688	4.4725	196.36	10.926	17.777	0.034961
293.01	5.7106	774.85	0.0012906	248.03	255.40	1.1862	1.0105	4.2313	339.21	1.4825	67.015	0.085419	0.0012400	193.13	0.0051778	378.58	408.15	1.7075	1.0703	4.5071	196.25	10.906	17.803	0.035107
293.10	5.7229	773.87	0.0012922	248.32	255.71	1.1872	1.0111	4.2528	338.17	1.4924	66.853	0.085316	0.0012272	193.85	0.0051587	378.44	407.96	1.7067	1.0718	4.5423	196.15	10.886	17.829	0.035254
293.20	5.7353	772.89	0.0012938	248.61	256.03	1.1882	1.0117	4.2748	337.12	1.5024	66.691	0.085212	0.0012144	194.57	0.0051397	378.29	407.77	1.7058	1.0733	4.5780	196.04	10.867	17.855	0.035402
293.29	5.7477	771.90	0.0012955	248.89	256.34	1.1893	1.0124	4.2971	336.07	1.5125	66.529	0.085110	0.0012016	195.29	0.0051206	378.14	407.57	1.7049	1.0748	4.6144	195.93	10.847	17.881	0.035553
293.38	5.7601	770.91	0.0012972	249.18	256.66	1.1903	1.0130	4.3198	335.02	1.5227	66.367	0.085007	0.0011888	196.02	0.0051016	377.99	407.38	1.7040	1.0764	4.6515	195.83	10.827	17.908	0.035705
293.47	5.7725	769.91	0.0012988	249.47	256.97	1.1913	1.0137	4.3428	333.97	1.5331	66.204	0.084905	0.0011761	196.75	0.0050826	377.84	407.18	1.7031	1.0780	4.6892	195.72	10.807	17.935	0.035859
293.56	5.7849	768.91	0.0013005	249.76	257.29	1.1923	1.0144	4.3663	332.91	1.5435	66.041	0.084803	0.0011634	197.49	0.0050636	377.69	406.98	1.7022	1.0795	4.7276	195.61	10.787	17.962	0.036015
293.66	5.7974	767.91	0.0013022	250.06	257.61	1.1933	1.0151	4.3902	331.85	1.5540	65.877	0.084702	0.0011507	198.23	0.0050446	377.53	406.78	1.7013	1.0811	4.7666	195.50	10.767	17.989	0.036172
293.75	5.8099	766.89	0.0013040	250.35	257.92	1.1944	1.0158	4.4145	330.79	1.5647	65.714	0.084601	0.0011381	198.98	0.0050257	377.38	406.57	1.7004	1.0827	4.8064	195.39	10.746	18.017	0.036332
293.84	5.8224	765.88	0.0013057	250.64	258.24	1.1954	1.0165	4.4392	329.72	1.5754	65.550	0.084500	0.0011255	199.73	0.0050067	377.22	406.37	1.6995	1.0844	4.8470	195.28	10.726	18.045	0.036493
293.93	5.8349	764.86	0.0013074	250.94	258.56	1.1964	1.0172	4.4643	328.65	1.5863	65.385	0.084400	0.0011129	200.49	0.0049878	377.06	406.16	1.6986	1.0860	4.8882	195.17	10.705	18.073	0.036656
294.02	5.8474	763.83	0.0013092	251.23	258.89	1.1975	1.0179	4.4899	327.58	1.5973	65.221	0.084301	0.0011003	201.25	0.0049688	376.90	405.96	1.6977	1.0876	4.9303	195.06	10.685	18.101	0.036822
294.12	5.8600	762.80	0.0013110	251.53	259.21	1.1985	1.0186	4.5160	326.50	1.6084	65.056	0.084201	0.0010878	202.02	0.0049499	376.74	405.75	1.6968	1.0893	4.9731	194.95	10.664	18.130	0.036989
294.21	5.8726	761.76	0.0013128	251.82	259.53	1.1996	1.0194	4.5425	325.42	1.6196	64.890	0.084103	0.0010753	202.80	0.0049310	376.58	405.53	1.6958	1.0910	5.0168	194.84	10.643	18.158	0.037158
294.30	5.8852	760.71	0.0013146	252.12	259.86	1.2006	1.0202	4.5696	324.33	1.6309	64.724	0.084005	0.0010628	203.58	0.0049121	376.41	405.32	1.6949	1.0926	5.0613	194.72	10.623	18.187	0.037330
294.39	5.8978	759.67	0.0013164	252.42	260.19	1.2017	1.0209	4.5971	323.24	1.6424	64.558	0.083907	0.0010504	204.36	0.0048932	376.25	405.11	1.6940	1.0943	5.1067	194.61	10.601	18.217	0.037504
294.48	5.9105	758.61	0.0013182	252.72	260.51	1.2027	1.0217	4.6252	322.15	1.6540	64.392	0.083810	0.0010380	205.15	0.0048744	376.08	404.89	1.6930	1.0961	5.1530	194.49	10.580	18.246	0.037680
294.57	5.9232	757.55	0.0013200	253.02	260.84	1.2038	1.0225	4.6538	321.05	1.6657	64.225	0.083714	0.0010256	205.95	0.0048555	375.91	404.67	1.6921	1.0978	5.2002	194.38	10.559	18.276	0.037858
294.67	5.9359	756.48	0.0013219	253.32	261.17	1.2049	1.0234	4.6830	319.95	1.6776	64.058	0.083618	0.0010132	206.75	0.0048366	375.74	404.45	1.6911	1.0996	5.2483	194.26	10.538	18.306	0.038038
294.76	5.9486	755.41	0.0013238	253.63	261.50	1.2059	1.0242	4.7127	318.84	1.6896	63.890	0.083522	0.0010009	207.56	0.0048178	375.57	404.23	1.6901	1.1013	5.2974	194.15	10.516	18.337	0.038221
