Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
311.36	7.3783	232.25	0.0043057	385.07	416.84	1.7103	0.98118	3.5489	209.92	8.6148	20.086	0.036700	supercritical
311.52	7.3783	231.33	0.0043227	385.49	417.38	1.7121	0.97875	3.5051	210.26	8.6135	20.062	0.036518	supercritical
311.67	7.3783	230.44	0.0043396	385.90	417.91	1.7138	0.97638	3.4629	210.60	8.6119	20.040	0.036342	supercritical
311.82	7.3783	229.55	0.0043563	386.30	418.44	1.7155	0.97407	3.4221	210.93	8.6101	20.018	0.036171	supercritical
311.98	7.3783	228.69	0.0043728	386.70	418.96	1.7171	0.97181	3.3827	211.26	8.6081	19.996	0.036004	supercritical
312.13	7.3783	227.83	0.0043892	387.09	419.48	1.7188	0.96960	3.3447	211.59	8.6057	19.976	0.035842	supercritical
312.28	7.3783	227.00	0.0044054	387.48	419.99	1.7204	0.96745	3.3079	211.91	8.6032	19.956	0.035685	supercritical
312.44	7.3783	226.17	0.0044214	387.87	420.49	1.7220	0.96534	3.2722	212.23	8.6005	19.936	0.035531	supercritical
312.59	7.3783	225.36	0.0044373	388.25	420.99	1.7236	0.96327	3.2377	212.54	8.5975	19.917	0.035382	supercritical
312.74	7.3783	224.57	0.0044530	388.63	421.48	1.7252	0.96126	3.2043	212.85	8.5943	19.899	0.035236	supercritical
312.90	7.3783	223.78	0.0044686	389.00	421.97	1.7267	0.95928	3.1719	213.16	8.5910	19.881	0.035095	supercritical
313.05	7.3783	223.01	0.0044840	389.37	422.45	1.7283	0.95735	3.1405	213.46	8.5874	19.863	0.034957	supercritical
313.20	7.3783	222.25	0.0044994	389.73	422.93	1.7298	0.95545	3.1099	213.76	8.5837	19.846	0.034822	supercritical
313.35	7.3783	221.51	0.0045145	390.09	423.40	1.7313	0.95360	3.0803	214.06	8.5798	19.830	0.034690	supercritical
313.51	7.3783	220.77	0.0045296	390.45	423.87	1.7328	0.95178	3.0515	214.36	8.5758	19.814	0.034562	supercritical
313.66	7.3783	220.05	0.0045445	390.81	424.34	1.7343	0.95000	3.0235	214.65	8.5716	19.798	0.034437	supercritical
313.81	7.3783	219.33	0.0045593	391.16	424.80	1.7358	0.94825	2.9963	214.94	8.5672	19.783	0.034315	supercritical
313.97	7.3783	218.63	0.0045740	391.51	425.26	1.7372	0.94654	2.9699	215.23	8.5627	19.768	0.034195	supercritical
314.12	7.3783	217.93	0.0045886	391.85	425.71	1.7387	0.94485	2.9441	215.51	8.5580	19.754	0.034079	supercritical
314.27	7.3783	217.25	0.0046030	392.19	426.16	1.7401	0.94320	2.9190	215.79	8.5533	19.740	0.033965	supercritical
314.43	7.3783	216.57	0.0046174	392.53	426.60	1.7415	0.94159	2.8946	216.07	8.5483	19.726	0.033853	supercritical
314.58	7.3783	215.91	0.0046316	392.87	427.04	1.7429	0.93999	2.8708	216.35	8.5433	19.713	0.033744	supercritical
314.73	7.3783	215.25	0.0046458	393.20	427.48	1.7443	0.93843	2.8476	216.62	8.5382	19.700	0.033638	supercritical
314.89	7.3783	214.60	0.0046598	393.53	427.92	1.7457	0.93690	2.8250	216.90	8.5329	19.688	0.033534	supercritical
315.04	7.3783	213.96	0.0046737	393.86	428.35	1.7471	0.93539	2.8029	217.17	8.5275	19.675	0.033432	supercritical
315.19	7.3783	213.33	0.0046876	394.19	428.77	1.7484	0.93391	2.7814	217.43	8.5220	19.663	0.033332	supercritical
315.34	7.3783	212.71	0.0047013	394.51	429.20	1.7498	0.93246	2.7604	217.70	8.5164	19.652	0.033234	supercritical
315.50	7.3783	212.09	0.0047150	394.83	429.62	1.7511	0.93102	2.7398	217.97	8.5107	19.641	0.033139	supercritical
315.65	7.3783	211.48	0.0047285	395.15	430.04	1.7524	0.92962	2.7198	218.23	8.5049	19.630	0.033045	supercritical
315.80	7.3783	210.88	0.0047420	395.46	430.45	1.7537	0.92823	2.7002	218.49	8.4991	19.619	0.032954	supercritical
315.96	7.3783	210.29	0.0047554	395.78	430.86	1.7550	0.92687	2.6811	218.75	8.4931	19.608	0.032864	supercritical
316.11	7.3783	209.70	0.0047687	396.09	431.27	1.7563	0.92553	2.6623	219.00	8.4870	19.598	0.032776	supercritical
316.26	7.3783	209.12	0.0047819	396.40	431.68	1.7576	0.92421	2.6440	219.26	8.4809	19.588	0.032690	supercritical
316.42	7.3783	208.55	0.0047950	396.70	432.08	1.7589	0.92292	2.6261	219.51	8.4747	19.579	0.032605	supercritical
316.57	7.3783	207.98	0.0048081	397.01	432.48	1.7602	0.92164	2.6086	219.76	8.4684	19.569	0.032522	supercritical
316.72	7.3783	207.43	0.0048210	397.31	432.88	1.7614	0.92038	2.5915	220.01	8.4620	19.560	0.032441	supercritical
316.88	7.3783	206.87	0.0048339	397.61	433.28	1.7627	0.91914	2.5747	220.26	8.4556	19.551	0.032361	supercritical
317.03	7.3783	206.32	0.0048467	397.91	433.67	1.7639	0.91792	2.5583	220.50	8.4491	19.542	0.032283	supercritical
317.18	7.3783	205.78	0.0048595	398.20	434.06	1.7651	0.91672	2.5422	220.75	8.4425	19.534	0.032206	supercritical
317.33	7.3783	205.25	0.0048721	398.50	434.45	1.7664	0.91554	2.5264	220.99	8.4359	19.526	0.032131	supercritical
317.49	7.3783	204.72	0.0048847	398.79	434.83	1.7676	0.91437	2.5109	221.23	8.4292	19.518	0.032057	supercritical
317.64	7.3783	204.20	0.0048973	399.08	435.22	1.7688	0.91322	2.4958	221.47	8.4224	19.510	0.031985	supercritical
317.79	7.3783	203.68	0.0049097	399.37	435.60	1.7700	0.91209	2.4809	221.71	8.4156	19.502	0.031914	supercritical
317.95	7.3783	203.17	0.0049221	399.66	435.98	1.7712	0.91097	2.4664	221.95	8.4088	19.495	0.031844	supercritical
318.10	7.3783	202.66	0.0049344	399.94	436.35	1.7724	0.90987	2.4521	222.18	8.4018	19.488	0.031775	supercritical
318.25	7.3783	202.16	0.0049467	400.23	436.73	1.7735	0.90878	2.4381	222.42	8.3949	19.480	0.031708	supercritical
318.41	7.3783	201.66	0.0049589	400.51	437.10	1.7747	0.90771	2.4243	222.65	8.3878	19.474	0.031642	supercritical
318.56	7.3783	201.17	0.0049710	400.79	437.47	1.7759	0.90665	2.4108	222.88	8.3808	19.467	0.031577	supercritical
318.71	7.3783	200.68	0.0049831	401.07	437.84	1.7770	0.90561	2.3976	223.11	8.3737	19.460	0.031513	supercritical
318.87	7.3783	200.20	0.0049951	401.35	438.20	1.7782	0.90458	2.3846	223.34	8.3665	19.454	0.031451	supercritical
319.02	7.3783	199.72	0.0050070	401.62	438.57	1.7793	0.90357	2.3718	223.57	8.3593	19.448	0.031389	supercritical
319.17	7.3783	199.25	0.0050189	401.90	438.93	1.7804	0.90257	2.3593	223.79	8.3520	19.442	0.031329	supercritical
319.33	7.3783	198.78	0.0050307	402.17	439.29	1.7816	0.90158	2.3470	224.02	8.3448	19.436	0.031269	supercritical
319.48	7.3783	198.31	0.0050425	402.44	439.65	1.7827	0.90060	2.3349	224.24	8.3374	19.431	0.031211	supercritical
319.63	7.3783	197.85	0.0050542	402.71	440.00	1.7838	0.89964	2.3230	224.46	8.3301	19.425	0.031153	supercritical
319.78	7.3783	197.40	0.0050659	402.98	440.36	1.7849	0.89869	2.3113	224.69	8.3227	19.420	0.031097	supercritical
319.94	7.3783	196.95	0.0050775	403.25	440.71	1.7860	0.89775	2.2998	224.91	8.3152	19.414	0.031041	supercritical
320.09	7.3783	196.50	0.0050890	403.51	441.06	1.7871	0.89683	2.2885	225.12	8.3078	19.409	0.030987	supercritical
320.24	7.3783	196.06	0.0051005	403.78	441.41	1.7882	0.89591	2.2774	225.34	8.3003	19.405	0.030933	supercritical
320.40	7.3783	195.62	0.0051120	404.04	441.76	1.7893	0.89501	2.2665	225.56	8.2927	19.400	0.030880	supercritical
320.55	7.3783	195.18	0.0051234	404.30	442.11	1.7904	0.89412	2.2557	225.77	8.2852	19.395	0.030829	supercritical
320.70	7.3783	194.75	0.0051347	404.57	442.45	1.7914	0.89323	2.2452	225.99	8.2776	19.391	0.030778	supercritical
320.86	7.3783	194.32	0.0051460	404.82	442.79	1.7925	0.89236	2.2348	226.20	8.2700	19.386	0.030727	supercritical
321.01	7.3783	193.90	0.0051573	405.08	443.14	1.7936	0.89150	2.2246	226.42	8.2623	19.382	0.030678	supercritical
321.16	7.3783	193.48	0.0051685	405.34	443.47	1.7946	0.89065	2.2145	226.63	8.2547	19.378	0.030629	supercritical
321.32	7.3783	193.06	0.0051796	405.60	443.81	1.7957	0.88981	2.2046	226.84	8.2470	19.374	0.030582	supercritical
321.47	7.3783	192.65	0.0051907	405.85	444.15	1.7967	0.88898	2.1948	227.05	8.2392	19.370	0.030535	supercritical
321.62	7.3783	192.24	0.0052018	406.10	444.49	1.7978	0.88816	2.1852	227.26	8.2315	19.366	0.030488	supercritical
321.77	7.3783	191.83	0.0052128	406.36	444.82	1.7988	0.88735	2.1758	227.46	8.2237	19.363	0.030443	supercritical
321.93	7.3783	191.43	0.0052238	406.61	445.15	1.7999	0.88655	2.1664	227.67	8.2160	19.359	0.030398	supercritical
322.08	7.3783	191.03	0.0052347	406.86	445.48	1.8009	0.88576	2.1573	227.88	8.2082	19.356	0.030354	supercritical
322.23	7.3783	190.64	0.0052456	407.11	445.81	1.8019	0.88498	2.1482	228.08	8.2003	19.353	0.030310	supercritical
322.39	7.3783	190.24	0.0052564	407.36	446.14	1.8029	0.88421	2.1393	228.29	8.1925	19.349	0.030268	supercritical
322.54	7.3783	189.85	0.0052672	407.60	446.47	1.8039	0.88344	2.1306	228.49	8.1846	19.346	0.030226	supercritical
322.69	7.3783	189.47	0.0052780	407.85	446.79	1.8049	0.88269	2.1219	228.69	8.1767	19.343	0.030184	supercritical
322.85	7.3783	189.08	0.0052887	408.09	447.12	1.8059	0.88194	2.1134	228.89	8.1689	19.341	0.030143	supercritical
323.00	7.3783	188.70	0.0052994	408.34	447.44	1.8069	0.88120	2.1050	229.09	8.1609	19.338	0.030103	supercritical
323.15	7.3783	188.32	0.0053100	408.58	447.76	1.8079	0.88047	2.0967	229.29	8.1530	19.335	0.030064	supercritical
323.31	7.3783	187.95	0.0053206	408.82	448.08	1.8089	0.87974	2.0886	229.49	8.1451	19.333	0.030025	supercritical
323.46	7.3783	187.58	0.0053312	409.07	448.40	1.8099	0.87903	2.0805	229.69	8.1371	19.330	0.029986	supercritical
323.61	7.3783	187.21	0.0053417	409.31	448.72	1.8109	0.87832	2.0726	229.89	8.1291	19.328	0.029949	supercritical
323.76	7.3783	186.84	0.0053522	409.55	449.04	1.8119	0.87762	2.0648	230.08	8.1212	19.326	0.029912	supercritical
323.92	7.3783	186.48	0.0053626	409.78	449.35	1.8129	0.87693	2.0571	230.28	8.1132	19.324	0.029875	supercritical
324.07	7.3783	186.12	0.0053730	410.02	449.66	1.8138	0.87625	2.0494	230.47	8.1052	19.321	0.029839	supercritical
324.22	7.3783	185.76	0.0053834	410.26	449.98	1.8148	0.87557	2.0419	230.67	8.0971	19.320	0.029803	supercritical
324.38	7.3783	185.40	0.0053937	410.49	450.29	1.8158	0.87490	2.0345	230.86	8.0891	19.318	0.029768	supercritical
324.53	7.3783	185.05	0.0054040	410.73	450.60	1.8167	0.87424	2.0272	231.05	8.0811	19.316	0.029734	supercritical
324.68	7.3783	184.70	0.0054142	410.96	450.91	1.8177	0.87358	2.0200	231.24	8.0730	19.314	0.029700	supercritical
324.84	7.3783	184.35	0.0054245	411.20	451.22	1.8186	0.87293	2.0129	231.43	8.0650	19.312	0.029666	supercritical
324.99	7.3783	184.00	0.0054347	411.43	451.53	1.8196	0.87229	2.0059	231.62	8.0569	19.311	0.029633	supercritical
325.14	7.3783	183.66	0.0054448	411.66	451.83	1.8205	0.87166	1.9989	231.81	8.0488	19.309	0.029601	supercritical
325.30	7.3783	183.32	0.0054549	411.89	452.14	1.8214	0.87103	1.9921	232.00	8.0407	19.308	0.029569	supercritical
325.45	7.3783	182.98	0.0054650	412.12	452.44	1.8224	0.87041	1.9853	232.19	8.0326	19.307	0.029537	supercritical
325.60	7.3783	182.65	0.0054751	412.35	452.75	1.8233	0.86979	1.9787	232.38	8.0245	19.306	0.029506	supercritical
325.75	7.3783	182.31	0.0054851	412.58	453.05	1.8242	0.86919	1.9721	232.56	8.0164	19.304	0.029476	supercritical
325.91	7.3783	181.98	0.0054951	412.81	453.35	1.8252	0.86858	1.9656	232.75	8.0083	19.303	0.029446	supercritical
326.06	7.3783	181.65	0.0055051	413.03	453.65	1.8261	0.86799	1.9592	232.94	8.0002	19.302	0.029416	supercritical
326.21	7.3783	181.32	0.0055150	413.26	453.95	1.8270	0.86740	1.9528	233.12	7.9921	19.301	0.029387	supercritical
326.37	7.3783	181.00	0.0055249	413.48	454.25	1.8279	0.86681	1.9465	233.30	7.9840	19.300	0.029358	supercritical
326.52	7.3783	180.68	0.0055347	413.71	454.55	1.8288	0.86623	1.9404	233.49	7.9758	19.300	0.029329	supercritical
326.67	7.3783	180.36	0.0055446	413.93	454.84	1.8297	0.86566	1.9342	233.67	7.9677	19.299	0.029301	supercritical
326.83	7.3783	180.04	0.0055544	414.16	455.14	1.8306	0.86510	1.9282	233.85	7.9595	19.298	0.029274	supercritical
326.98	7.3783	179.72	0.0055642	414.38	455.43	1.8315	0.86453	1.9222	234.03	7.9514	19.298	0.029246	supercritical
327.13	7.3783	179.41	0.0055739	414.60	455.73	1.8324	0.86398	1.9163	234.21	7.9433	19.297	0.029220	supercritical
327.29	7.3783	179.10	0.0055836	414.82	456.02	1.8333	0.86343	1.9105	234.39	7.9351	19.297	0.029193	supercritical
327.44	7.3783	178.78	0.0055933	415.04	456.31	1.8342	0.86289	1.9048	234.57	7.9269	19.296	0.029167	supercritical
327.59	7.3783	178.48	0.0056030	415.26	456.60	1.8351	0.86235	1.8991	234.75	7.9188	19.296	0.029141	supercritical
327.74	7.3783	178.17	0.0056126	415.48	456.89	1.8360	0.86181	1.8934	234.93	7.9106	19.296	0.029116	supercritical
327.90	7.3783	177.87	0.0056222	415.70	457.18	1.8369	0.86129	1.8879	235.11	7.9025	19.296	0.029091	supercritical
328.05	7.3783	177.56	0.0056318	415.92	457.47	1.8378	0.86076	1.8824	235.28	7.8943	19.295	0.029066	supercritical
328.20	7.3783	177.26	0.0056413	416.14	457.76	1.8386	0.86025	1.8770	235.46	7.8861	19.295	0.029042	supercritical
328.36	7.3783	176.96	0.0056509	416.35	458.05	1.8395	0.85973	1.8716	235.64	7.8780	19.295	0.029018	supercritical
328.51	7.3783	176.67	0.0056604	416.57	458.33	1.8404	0.85923	1.8663	235.81	7.8698	19.295	0.028995	supercritical
328.66	7.3783	176.37	0.0056698	416.78	458.62	1.8413	0.85872	1.8610	235.99	7.8616	19.295	0.028972	supercritical
328.82	7.3783	176.08	0.0056793	417.00	458.90	1.8421	0.85823	1.8558	236.16	7.8535	19.296	0.028949	supercritical
328.97	7.3783	175.79	0.0056887	417.21	459.19	1.8430	0.85773	1.8507	236.33	7.8453	19.296	0.028926	supercritical
329.12	7.3783	175.50	0.0056981	417.43	459.47	1.8439	0.85725	1.8456	236.51	7.8371	19.296	0.028904	supercritical
329.28	7.3783	175.21	0.0057074	417.64	459.75	1.8447	0.85676	1.8406	236.68	7.8289	19.296	0.028882	supercritical
329.43	7.3783	174.92	0.0057168	417.85	460.03	1.8456	0.85628	1.8356	236.85	7.8208	19.297	0.028860	supercritical
329.58	7.3783	174.64	0.0057261	418.06	460.31	1.8464	0.85581	1.8307	237.02	7.8126	19.297	0.028839	supercritical
329.73	7.3783	174.36	0.0057354	418.28	460.59	1.8473	0.85534	1.8259	237.19	7.8044	19.298	0.028818	supercritical
329.89	7.3783	174.08	0.0057446	418.49	460.87	1.8481	0.85488	1.8211	237.36	7.7963	19.298	0.028797	supercritical
330.04	7.3783	173.80	0.0057539	418.70	461.15	1.8490	0.85442	1.8163	237.53	7.7881	19.299	0.028777	supercritical
