Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
231.17	0.93319	1124.2	0.00088955	108.09	108.92	0.64874	0.95524	2.0022	870.64	-0.080835	199.01	0.15915	0.013126	24.298	0.041155	396.48	434.88	2.0588	0.67394	1.0154	223.56	21.995	11.638	0.012536
231.21	0.93457	1124.0	0.00088967	108.16	109.00	0.64908	0.95520	2.0024	870.36	-0.080623	198.88	0.15910	0.013117	24.333	0.041096	396.48	434.89	2.0586	0.67407	1.0158	223.56	21.985	11.640	0.012541
231.25	0.93595	1123.9	0.00088979	108.24	109.07	0.64941	0.95515	2.0026	870.07	-0.080411	198.75	0.15905	0.013108	24.369	0.041036	396.49	434.90	2.0584	0.67420	1.0161	223.56	21.975	11.642	0.012545
231.29	0.93734	1123.7	0.00088992	108.32	109.15	0.64975	0.95510	2.0027	869.79	-0.080200	198.63	0.15901	0.013099	24.404	0.040977	396.50	434.91	2.0582	0.67433	1.0165	223.56	21.966	11.644	0.012549
231.33	0.93872	1123.5	0.00089004	108.40	109.23	0.65009	0.95505	2.0029	869.50	-0.079988	198.50	0.15896	0.013091	24.439	0.040918	396.51	434.92	2.0580	0.67447	1.0168	223.55	21.956	11.647	0.012553
231.37	0.94010	1123.4	0.00089016	108.48	109.31	0.65042	0.95501	2.0031	869.22	-0.079776	198.37	0.15891	0.013082	24.475	0.040859	396.52	434.93	2.0578	0.67460	1.0172	223.55	21.946	11.649	0.012558
231.41	0.94148	1123.2	0.00089028	108.55	109.39	0.65076	0.95496	2.0033	868.93	-0.079564	198.24	0.15886	0.013073	24.510	0.040800	396.52	434.94	2.0576	0.67473	1.0175	223.55	21.937	11.651	0.012562
231.44	0.94287	1123.1	0.00089040	108.63	109.47	0.65109	0.95491	2.0035	868.65	-0.079352	198.12	0.15882	0.013064	24.545	0.040741	396.53	434.95	2.0574	0.67486	1.0178	223.55	21.927	11.653	0.012566
231.48	0.94425	1122.9	0.00089052	108.71	109.55	0.65143	0.95487	2.0036	868.37	-0.079140	197.99	0.15877	0.013055	24.581	0.040683	396.54	434.95	2.0572	0.67500	1.0182	223.55	21.917	11.655	0.012570
231.52	0.94563	1122.8	0.00089064	108.78	109.63	0.65176	0.95482	2.0038	868.08	-0.078929	197.87	0.15872	0.013046	24.616	0.040624	396.55	434.96	2.0570	0.67513	1.0185	223.55	21.908	11.657	0.012575
231.56	0.94702	1122.6	0.00089076	108.86	109.71	0.65210	0.95477	2.0040	867.80	-0.078717	197.74	0.15867	0.013038	24.651	0.040566	396.56	434.97	2.0568	0.67526	1.0189	223.55	21.898	11.659	0.012579
231.60	0.94840	1122.5	0.00089088	108.94	109.78	0.65243	0.95472	2.0042	867.52	-0.078505	197.61	0.15862	0.013029	24.686	0.040508	396.56	434.98	2.0566	0.67539	1.0192	223.55	21.888	11.661	0.012583
231.64	0.94978	1122.3	0.00089100	109.02	109.86	0.65276	0.95468	2.0044	867.24	-0.078293	197.49	0.15858	0.013020	24.722	0.040450	396.57	434.99	2.0564	0.67552	1.0196	223.55	21.879	11.663	0.012587
231.68	0.95116	1122.2	0.00089112	109.09	109.94	0.65310	0.95463	2.0046	866.95	-0.078081	197.36	0.15853	0.013011	24.757	0.040392	396.58	435.00	2.0562	0.67566	1.0199	223.55	21.869	11.665	0.012592
231.72	0.95255	1122.0	0.00089124	109.17	110.02	0.65343	0.95458	2.0047	866.67	-0.077869	197.24	0.15848	0.013002	24.792	0.040335	396.59	435.01	2.0560	0.67579	1.0203	223.54	21.860	11.667	0.012596
231.76	0.95393	1121.9	0.00089136	109.25	110.10	0.65376	0.95454	2.0049	866.39	-0.077657	197.11	0.15844	0.012994	24.828	0.040278	396.59	435.02	2.0557	0.67592	1.0206	223.54	21.850	11.670	0.012600
231.80	0.95531	1121.7	0.00089148	109.32	110.17	0.65409	0.95449	2.0051	866.11	-0.077445	196.99	0.15839	0.012985	24.863	0.040220	396.60	435.03	2.0555	0.67605	1.0210	223.54	21.841	11.672	0.012604
231.83	0.95670	1121.6	0.00089160	109.40	110.25	0.65442	0.95445	2.0053	865.83	-0.077233	196.86	0.15834	0.012976	24.898	0.040163	396.61	435.03	2.0553	0.67618	1.0213	223.54	21.831	11.674	0.012609
231.87	0.95808	1121.4	0.00089172	109.48	110.33	0.65475	0.95440	2.0055	865.55	-0.077021	196.74	0.15829	0.012968	24.934	0.040106	396.62	435.04	2.0551	0.67631	1.0217	223.54	21.822	11.676	0.012613
231.91	0.95946	1121.3	0.00089184	109.55	110.41	0.65508	0.95435	2.0056	865.27	-0.076808	196.61	0.15825	0.012959	24.969	0.040050	396.63	435.05	2.0549	0.67645	1.0220	223.54	21.812	11.678	0.012617
231.95	0.96084	1121.1	0.00089196	109.63	110.49	0.65541	0.95431	2.0058	864.99	-0.076596	196.49	0.15820	0.012950	25.004	0.039993	396.63	435.06	2.0547	0.67658	1.0224	223.54	21.803	11.680	0.012621
231.99	0.96223	1121.0	0.00089208	109.71	110.56	0.65574	0.95426	2.0060	864.71	-0.076384	196.37	0.15815	0.012941	25.040	0.039937	396.64	435.07	2.0545	0.67671	1.0227	223.54	21.793	11.682	0.012626
232.03	0.96361	1120.8	0.00089220	109.78	110.64	0.65607	0.95421	2.0062	864.43	-0.076172	196.24	0.15811	0.012933	25.075	0.039880	396.65	435.08	2.0543	0.67684	1.0230	223.54	21.784	11.684	0.012630
